result, oneway, oneway:bicycle, junction, cycleway, cycleway:left
against, 1, -1, , right, share_busway
against, -1, -1, , right, share_busway
with, , , roundabout, right, share_busway
with, yes, , roundabout, right, share_busway
with, no, , roundabout, right, share_busway
with, 1, , roundabout, right, share_busway
with, -1, , roundabout, right, share_busway
with, , yes, roundabout, right, share_busway
with, yes, yes, roundabout, right, share_busway
with, no, yes, roundabout, right, share_busway
with, 1, yes, roundabout, right, share_busway
with, -1, yes, roundabout, right, share_busway
both, , no, roundabout, right, share_busway
both, yes, no, roundabout, right, share_busway
both, no, no, roundabout, right, share_busway
both, 1, no, roundabout, right, share_busway
both, -1, no, roundabout, right, share_busway
with, , 1, roundabout, right, share_busway
with, yes, 1, roundabout, right, share_busway
with, no, 1, roundabout, right, share_busway
with, 1, 1, roundabout, right, share_busway
with, -1, 1, roundabout, right, share_busway
against, , -1, roundabout, right, share_busway
against, yes, -1, roundabout, right, share_busway
against, no, -1, roundabout, right, share_busway
against, 1, -1, roundabout, right, share_busway
against, -1, -1, roundabout, right, share_busway
both, , , , opposite_lane, share_busway
both, yes, , , opposite_lane, share_busway
both, no, , , opposite_lane, share_busway
both, 1, , , opposite_lane, share_busway
both, -1, , , opposite_lane, share_busway
with, , yes, , opposite_lane, share_busway
with, yes, yes, , opposite_lane, share_busway
with, no, yes, , opposite_lane, share_busway
with, 1, yes, , opposite_lane, share_busway
with, -1, yes, , opposite_lane, share_busway
both, , no, , opposite_lane, share_busway
both, yes, no, , opposite_lane, share_busway
both, no, no, , opposite_lane, share_busway
both, 1, no, , opposite_lane, share_busway
both, -1, no, , opposite_lane, share_busway
with, , 1, , opposite_lane, share_busway
with, yes, 1, , opposite_lane, share_busway
with, no, 1, , opposite_lane, share_busway
with, 1, 1, , opposite_lane, share_busway
with, -1, 1, , opposite_lane, share_busway
against, , -1, , opposite_lane, share_busway
against, yes, -1, , opposite_lane, share_busway
against, no, -1, , opposite_lane, share_busway
against, 1, -1, , opposite_lane, share_busway
against, -1, -1, , opposite_lane, share_busway
with, , , roundabout, opposite_lane, share_busway
with, yes, , roundabout, opposite_lane, share_busway
with, no, , roundabout, opposite_lane, share_busway
with, 1, , roundabout, opposite_lane, share_busway
with, -1, , roundabout, opposite_lane, share_busway
with, , yes, roundabout, opposite_lane, share_busway
with, yes, yes, roundabout, opposite_lane, share_busway
with, no, yes, roundabout, opposite_lane, share_busway
with, 1, yes, roundabout, opposite_lane, share_busway
with, -1, yes, roundabout, opposite_lane, share_busway
both, , no, roundabout, opposite_lane, share_busway
both, yes, no, roundabout, opposite_lane, share_busway
both, no, no, roundabout, opposite_lane, share_busway
both, 1, no, roundabout, opposite_lane, share_busway
both, -1, no, roundabout, opposite_lane, share_busway
with, , 1, roundabout, opposite_lane, share_busway
with, yes, 1, roundabout, opposite_lane, share_busway
with, no, 1, roundabout, opposite_lane, share_busway
with, 1, 1, roundabout, opposite_lane, share_busway
with, -1, 1, roundabout, opposite_lane, share_busway
against, , -1, roundabout, opposite_lane, share_busway
against, yes, -1, roundabout, opposite_lane, share_busway
against, no, -1, roundabout, opposite_lane, share_busway
against, 1, -1, roundabout, opposite_lane, share_busway
against, -1, -1, roundabout, opposite_lane, share_busway
both, , , , opposite, share_busway
both, yes, , , opposite, share_busway
both, no, , , opposite, share_busway
both, 1, , , opposite, share_busway
both, -1, , , opposite, share_busway
with, , yes, , opposite, share_busway
with, yes, yes, , opposite, share_busway
with, no, yes, , opposite, share_busway
with, 1, yes, , opposite, share_busway
with, -1, yes, , opposite, share_busway
both, , no, , opposite, share_busway
both, yes, no, , opposite, share_busway
both, no, no, , opposite, share_busway
both, 1, no, , opposite, share_busway
both, -1, no, , opposite, share_busway
with, , 1, , opposite, share_busway
with, yes, 1, , opposite, share_busway
with, no, 1, , opposite, share_busway
with, 1, 1, , opposite, share_busway
with, -1, 1, , opposite, share_busway
against, , -1, , opposite, share_busway
against, yes, -1, , opposite, share_busway
against, no, -1, , opposite, share_busway
against, 1, -1, , opposite, share_busway
against, -1, -1, , opposite, share_busway
with, , , roundabout, opposite, share_busway
with, yes, , roundabout, opposite, share_busway
with, no, , roundabout, opposite, share_busway
with, 1, , roundabout, opposite, share_busway
with, -1, , roundabout, opposite, share_busway
with, , yes, roundabout, opposite, share_busway
with, yes, yes, roundabout, opposite, share_busway
with, no, yes, roundabout, opposite, share_busway
with, 1, yes, roundabout, opposite, share_busway
with, -1, yes, roundabout, opposite, share_busway
both, , no, roundabout, opposite, share_busway
both, yes, no, roundabout, opposite, share_busway
both, no, no, roundabout, opposite, share_busway
both, 1, no, roundabout, opposite, share_busway
both, -1, no, roundabout, opposite, share_busway
with, , 1, roundabout, opposite, share_busway
with, yes, 1, roundabout, opposite, share_busway
with, no, 1, roundabout, opposite, share_busway
with, 1, 1, roundabout, opposite, share_busway
with, -1, 1, roundabout, opposite, share_busway
against, , -1, roundabout, opposite, share_busway
against, yes, -1, roundabout, opposite, share_busway
against, no, -1, roundabout, opposite, share_busway
against, 1, -1, roundabout, opposite, share_busway
against, -1, -1, roundabout, opposite, share_busway
both, , , , opposite_share_busway, share_busway
both, yes, , , opposite_share_busway, share_busway
both, no, , , opposite_share_busway, share_busway
both, 1, , , opposite_share_busway, share_busway
both, -1, , , opposite_share_busway, share_busway
with, , yes, , opposite_share_busway, share_busway
with, yes, yes, , opposite_share_busway, share_busway
with, no, yes, , opposite_share_busway, share_busway
with, 1, yes, , opposite_share_busway, share_busway
with, -1, yes, , opposite_share_busway, share_busway
both, , no, , opposite_share_busway, share_busway
both, yes, no, , opposite_share_busway, share_busway
both, no, no, , opposite_share_busway, share_busway
both, 1, no, , opposite_share_busway, share_busway
both, -1, no, , opposite_share_busway, share_busway
with, , 1, , opposite_share_busway, share_busway
with, yes, 1, , opposite_share_busway, share_busway
with, no, 1, , opposite_share_busway, share_busway
with, 1, 1, , opposite_share_busway, share_busway
with, -1, 1, , opposite_share_busway, share_busway
against, , -1, , opposite_share_busway, share_busway
against, yes, -1, , opposite_share_busway, share_busway
against, no, -1, , opposite_share_busway, share_busway
against, 1, -1, , opposite_share_busway, share_busway
against, -1, -1, , opposite_share_busway, share_busway
with, , , roundabout, opposite_share_busway, share_busway
with, yes, , roundabout, opposite_share_busway, share_busway
with, no, , roundabout, opposite_share_busway, share_busway
with, 1, , roundabout, opposite_share_busway, share_busway
with, -1, , roundabout, opposite_share_busway, share_busway
with, , yes, roundabout, opposite_share_busway, share_busway
with, yes, yes, roundabout, opposite_share_busway, share_busway
with, no, yes, roundabout, opposite_share_busway, share_busway
with, 1, yes, roundabout, opposite_share_busway, share_busway
with, -1, yes, roundabout, opposite_share_busway, share_busway
both, , no, roundabout, opposite_share_busway, share_busway
both, yes, no, roundabout, opposite_share_busway, share_busway
both, no, no, roundabout, opposite_share_busway, share_busway
both, 1, no, roundabout, opposite_share_busway, share_busway
both, -1, no, roundabout, opposite_share_busway, share_busway
with, , 1, roundabout, opposite_share_busway, share_busway
with, yes, 1, roundabout, opposite_share_busway, share_busway
with, no, 1, roundabout, opposite_share_busway, share_busway
with, 1, 1, roundabout, opposite_share_busway, share_busway
with, -1, 1, roundabout, opposite_share_busway, share_busway
against, , -1, roundabout, opposite_share_busway, share_busway
against, yes, -1, roundabout, opposite_share_busway, share_busway
against, no, -1, roundabout, opposite_share_busway, share_busway
against, 1, -1, roundabout, opposite_share_busway, share_busway
against, -1, -1, roundabout, opposite_share_busway, share_busway
both, , , , opposite_track, share_busway
both, yes, , , opposite_track, share_busway
both, no, , , opposite_track, share_busway
both, 1, , , opposite_track, share_busway
both, -1, , , opposite_track, share_busway
with, , yes, , opposite_track, share_busway
with, yes, yes, , opposite_track, share_busway
with, no, yes, , opposite_track, share_busway
with, 1, yes, , opposite_track, share_busway
with, -1, yes, , opposite_track, share_busway
both, , no, , opposite_track, share_busway
both, yes, no, , opposite_track, share_busway
both, no, no, , opposite_track, share_busway
both, 1, no, , opposite_track, share_busway
both, -1, no, , opposite_track, share_busway
with, , 1, , opposite_track, share_busway
with, yes, 1, , opposite_track, share_busway
with, no, 1, , opposite_track, share_busway
with, 1, 1, , opposite_track, share_busway
with, -1, 1, , opposite_track, share_busway
against, , -1, , opposite_track, share_busway
against, yes, -1, , opposite_track, share_busway
against, no, -1, , opposite_track, share_busway
against, 1, -1, , opposite_track, share_busway
against, -1, -1, , opposite_track, share_busway
with, , , roundabout, opposite_track, share_busway
with, yes, , roundabout, opposite_track, share_busway
with, no, , roundabout, opposite_track, share_busway
with, 1, , roundabout, opposite_track, share_busway
with, -1, , roundabout, opposite_track, share_busway
with, , yes, roundabout, opposite_track, share_busway
with, yes, yes, roundabout, opposite_track, share_busway
with, no, yes, roundabout, opposite_track, share_busway
with, 1, yes, roundabout, opposite_track, share_busway
with, -1, yes, roundabout, opposite_track, share_busway
both, , no, roundabout, opposite_track, share_busway
both, yes, no, roundabout, opposite_track, share_busway
both, no, no, roundabout, opposite_track, share_busway
both, 1, no, roundabout, opposite_track, share_busway
both, -1, no, roundabout, opposite_track, share_busway
with, , 1, roundabout, opposite_track, share_busway
with, yes, 1, roundabout, opposite_track, share_busway
with, no, 1, roundabout, opposite_track, share_busway
with, 1, 1, roundabout, opposite_track, share_busway
with, -1, 1, roundabout, opposite_track, share_busway
against, , -1, roundabout, opposite_track, share_busway
against, yes, -1, roundabout, opposite_track, share_busway
against, no, -1, roundabout, opposite_track, share_busway
against, 1, -1, roundabout, opposite_track, share_busway
against, -1, -1, roundabout, opposite_track, share_busway
